price,rooms,bathroom,lift,terrace,square_meters,real_state,neighborhood
13427,4,2,FALSE,FALSE,140,apartment,Eixample
1600,3,1,FALSE,FALSE,60,apartment,Ciutat Vella
1350,1,1,FALSE,FALSE,45,apartment,Eixample
895,1,1,TRUE,TRUE,60,apartment,Les Corts
980,2,1,TRUE,FALSE,59,apartment,Gracia
825,1,1,FALSE,TRUE,45,apartment,Les Corts
1400,2,1,TRUE,TRUE,139,apartment,Sarria-Sant Gervasi
1250,3,1,TRUE,TRUE,85,apartment,Sant Martí
3800,5,5,TRUE,FALSE,287,apartment,Sarria-Sant Gervasi
4000,5,3,TRUE,FALSE,245,apartment,Sarria-Sant Gervasi
1050,2,1,TRUE,FALSE,50,apartment,Sarria-Sant Gervasi
3800,4,3,TRUE,FALSE,253,apartment,Sarria-Sant Gervasi
2500,3,3,TRUE,TRUE,181,apartment,Sarria-Sant Gervasi
3200,3,2,TRUE,FALSE,149,apartment,Sarria-Sant Gervasi
935,1,1,TRUE,TRUE,57,apartment,Sarria-Sant Gervasi
3390,0,3,FALSE,TRUE,300,apartment,Sarria-Sant Gervasi
2300,1,1,TRUE,FALSE,55,apartment,Sarria-Sant Gervasi
15000,4,4,TRUE,TRUE,475,apartment,Sarria-Sant Gervasi
2500,2,1,TRUE,FALSE,65,apartment,Sarria-Sant Gervasi
1700,3,2,TRUE,FALSE,100,apartment,Sarria-Sant Gervasi
800,1,1,FALSE,FALSE,47,apartment,Sarria-Sant Gervasi
2450,2,2,TRUE,FALSE,153,apartment,Sant Martí
2300,7,2,TRUE,FALSE,202,apartment,Eixample
