Time	User	ID	Text
Mon Apr 04 20:41:55 +0000 2016	TradxAbolicion	717089842035818496	Y @feminismosenred dándole cancha. #NoEsNuestraRevolucion #lagentnormal33 @MDMujeres #tv3ContraTractaMenors @MDDONESCAT
Mon Apr 04 20:41:54 +0000 2016	esterina46	717089836830760961	RT @_donesPSC: #yonosoycomplice #lagentnormal33 RT MDDONESCAT: Los hombres que van de putas no compran sexo, ejercen violencia https://t.co…
Mon Apr 04 20:41:53 +0000 2016	MDDONESCAT	717089832661565443	RT @CATaronja: @MDDONESCAT @lagentnormal33 @BeatrizGimeno1 @EticaA les dones q han sortit no son representatives d lesnenes q hi ha cada di…
Mon Apr 04 20:41:51 +0000 2016	crismdmujeres	717089825141235712	RT @MDDONESCAT: Tenemos el deber de soñar con un mundo sin prostitución infantil #tv3complicetractamenors #lagentnormal33 https://t.co/n2P5…
Mon Apr 04 20:41:49 +0000 2016	imoraleda	717089816609996801	Avui dia per lluitar contra prostitució infantil, el pitjor dia per emetre #lagentnormal33 un programa sobre prostitució"voluntària" ! #pena
Mon Apr 04 20:41:45 +0000 2016	Unipour	717089800214487040	RT @ShirleyMcLaren9: La vulnerabilidad se encuentra en cualquier tipo de trabajo @NataliaxFerrari #lagentnormal33 #PutaFeminista
Mon Apr 04 20:41:41 +0000 2016	Dulce_bcn	717089781226860545	RT @PutasIndignadas: "Hay una santidad sobre la sexualidad d las mujeres, hay q entregarla por amor y gratis" @NataliaxFerrari #PutaFeminis…
Mon Apr 04 20:41:38 +0000 2016	ciktricstrans	717089769394675712	RT @MDDONESCAT: @EticaA  @lagentnormal33 día contra prostitución infantil deberíais desmontar mitos sobre sexualidad neoliberal #tv3Complic…
Mon Apr 04 20:41:29 +0000 2016	wwwlarosacat	717089732388331522	#lagentnormal33 "trata de blanques" @MarquesAgnes? https://t.co/HrFDBykcgv
Mon Apr 04 20:41:28 +0000 2016	Hectorfina	717089725853614085	RT @clarabassols: @albamedrano13 amb això tb estem d'acord. Per això és tan important fer programes com #lagentnormal33
Mon Apr 04 20:41:28 +0000 2016	gerrillerapilar	717089725773914117	RT @ROSA_M_IBARRA: #laGentNormal33 fa un retrat idíl·lic de la prostitució quan en realitat és una mercantilització del cos de la dona en u…
Mon Apr 04 20:41:26 +0000 2016	OliverMagdalena	717089720124248069	RT @MireiaSiles: Superintetessant el programa #lagentnormal33 sobre prostitució.  s'hauria de fer en comptes Cracòvia a @tv3cat
Mon Apr 04 20:41:26 +0000 2016	NinaFerbuix	717089718970744833	RT @bernatescudero: @tv3cat @lagentnormal33 llavors, si és tan maco i tan segur prostituir-se, com és que hi ha tant tràfic de dones?? #tv3…
Mon Apr 04 20:41:23 +0000 2016	anna_sase	717089704970219520	RT @LauraSolerRo: Massa maco he trobat el programa d'avui... #lagentnormal33
Mon Apr 04 20:41:22 +0000 2016	PetryJimenez	717089701711233024	RT @MDDONESCAT: El cuerpo de las mujeres no está en venta #tv3ContraTractaMenors #lagentnormal33 https://t.co/hzpiu15zMX
Mon Apr 04 20:41:14 +0000 2016	Hectorfina	717089670031654912	RT @HolaMariola: M'agrada @lagentnormal33 pq aporta lectures, testimonis i un look gens previsible. Bravo @MarquesAgnes! #lagentnormal33
Mon Apr 04 20:41:06 +0000 2016	Hectorfina	717089634363289600	RT @MarquesAgnes: A la Paquita, a la @PaulaVip, a la @martinadlaterra i a la @NataliaxFerrari, gràcies per deixar-nos conèixer la vostra vi…
Mon Apr 04 20:41:02 +0000 2016	AyutMontse	717089618110316544	RT @_donesPSC: #yonosoycomplice #lagentnormal33 RT MDDONESCAT: Los hombres que van de putas no compran sexo, ejercen violencia https://t.co…
Mon Apr 04 20:40:55 +0000 2016	OliverMagdalena	717089590688026624	RT @RogerCasero: .@PutasIndignadas la prostitució té moltes cares, algunes no les voldria ni veure, d'altres, sí, es podrien regular. #lage…
Mon Apr 04 20:40:45 +0000 2016	MDDONESCAT	717089548887572485	Tenemos el deber de soñar con un mundo sin prostitución infantil #tv3complicetractamenors #lagentnormal33 https://t.co/n2P5sUSVA2
Mon Apr 04 20:40:43 +0000 2016	albalaguna81	717089539060269056	Molt gran com sempre @lagentnormal33. Clar, directe i sense complexes.
Mon Apr 04 20:40:38 +0000 2016	AnaMartinGonz	717089516310421504	RT @MDDONESCAT: Par machismo prostitucion es la normalidad y su erradicación un ataque #tv3complicetractamenors #lagentnormal33 https://t.c…
Mon Apr 04 20:40:38 +0000 2016	jotacall	717089516046172160	Els dilluns val la pena veure @lagentnormal33. Televisió feta amb molta sensibilitat. Bravo @raulcuevasm @LaraVilanovaS, Pol Orpinell
